sheet_name,row_number,series_label,period,value,variable
Summary 1,16,Gross advances £ millions,2007-Q1,86432.163,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2007-Q2,96694.881,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2007-Q3,101979.98,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2007-Q4,86608.823,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2008-Q1,73365.331,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2008-Q2,71629.616,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2008-Q3,60583.695,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2008-Q4,44823.241,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2009-Q1,32588.306,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2009-Q2,33799.533,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2009-Q3,40330.642,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2009-Q4,41246.305,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2010-Q1,32050.568,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2010-Q2,36472.24,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2010-Q3,40827.545,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2010-Q4,36814.947,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2011-Q1,32984.725,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2011-Q2,36554.241,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2011-Q3,43568.227,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2011-Q4,40107.073,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2012-Q1,36442.684,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2012-Q2,36926.808,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2012-Q3,39595.182,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2012-Q4,39397.195,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2013-Q1,34044.484,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2013-Q2,41673.78,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2013-Q3,49570.122,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2013-Q4,51491.136,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2014-Q1,47097.301,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2014-Q2,51518.104,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2014-Q3,55910.718,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2014-Q4,51371.767,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2015-Q1,45593.342,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2015-Q2,52564.001,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2015-Q3,62095.996,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2015-Q4,63090.045,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2016-Q1,64015.298,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2016-Q2,58037.382,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2016-Q3,64447.772,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2016-Q4,62772.619,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2017-Q1,60435.915,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2017-Q2,62586.376,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2017-Q3,70719.892,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2017-Q4,68963.54,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2018-Q1,62436.475,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2018-Q2,66729.277,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2018-Q3,73454.664,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2018-Q4,72875.539,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2019-Q1,63368.348,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2019-Q2,66088.26,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2019-Q3,73303.859,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2019-Q4,73466.502,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2020-Q1,65818.022,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2020-Q2,44159.88,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2020-Q3,62527.45,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2020-Q4,76601.634,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2021-Q1,83175.142,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2021-Q2,89117.086,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2021-Q3,73437.692,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2021-Q4,70200.639,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2022-Q1,76942.33,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2022-Q2,77985.253,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2022-Q3,85944.428,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2022-Q4,81619.405,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2023-Q1,58587.24,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2023-Q2,52134.03,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2023-Q3,61404.034,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2023-Q4,52943.596,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2024-Q1,51589.645,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2024-Q2,60204.199,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2024-Q3,65532.408,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2024-Q4,68774.152,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2025-Q1,77560.808,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2025-Q2,58760.698,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2025-Q3,80438.426,gross_advances_gbp_m
Summary 1,16,Gross advances £ millions,2025-Q4,79388.852,gross_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q1,33434.097,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q2,37319.103,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q3,39641.002,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q4,29671.474,net_advances_gbp_m
