sheet_name,row_number,series_label,period,value
Summary 3,19,Number of loan accounts Units,2007-Q1,258659.0
Summary 3,19,Number of loan accounts Units,2007-Q2,267210.0
Summary 3,19,Number of loan accounts Units,2007-Q3,273541.0
Summary 3,19,Number of loan accounts Units,2007-Q4,288546.0
Summary 3,19,Number of loan accounts Units,2008-Q1,299588.0
Summary 3,19,Number of loan accounts Units,2008-Q2,309817.0
Summary 3,19,Number of loan accounts Units,2008-Q3,340963.0
Summary 3,19,Number of loan accounts Units,2008-Q4,377222.0
Summary 3,19,Number of loan accounts Units,2009-Q1,399365.0
Summary 3,19,Number of loan accounts Units,2009-Q2,395464.0
Summary 3,19,Number of loan accounts Units,2009-Q3,386998.0
Summary 3,19,Number of loan accounts Units,2009-Q4,370639.0
Summary 3,19,Number of loan accounts Units,2010-Q1,361750.0
Summary 3,19,Number of loan accounts Units,2010-Q2,352680.0
Summary 3,19,Number of loan accounts Units,2010-Q3,343633.0
Summary 3,19,Number of loan accounts Units,2010-Q4,343459.0
Summary 3,19,Number of loan accounts Units,2011-Q1,337031.0
Summary 3,19,Number of loan accounts Units,2011-Q2,332709.0
Summary 3,19,Number of loan accounts Units,2011-Q3,324275.0
Summary 3,19,Number of loan accounts Units,2011-Q4,313224.0
Summary 3,19,Number of loan accounts Units,2012-Q1,302976.0
Summary 3,19,Number of loan accounts Units,2012-Q2,296484.0
Summary 3,19,Number of loan accounts Units,2012-Q3,303163.0
Summary 3,19,Number of loan accounts Units,2012-Q4,297572.0
Summary 3,19,Number of loan accounts Units,2013-Q1,299224.0
Summary 3,19,Number of loan accounts Units,2013-Q2,291647.0
Summary 3,19,Number of loan accounts Units,2013-Q3,279118.0
Summary 3,19,Number of loan accounts Units,2013-Q4,263665.0
Summary 3,19,Number of loan accounts Units,2014-Q1,254204.0
Summary 3,19,Number of loan accounts Units,2014-Q2,238899.0
Summary 3,19,Number of loan accounts Units,2014-Q3,228517.0
Summary 3,19,Number of loan accounts Units,2014-Q4,217981.0
Summary 3,19,Number of loan accounts Units,2015-Q1,210261.0
Summary 3,19,Number of loan accounts Units,2015-Q2,209699.0
Summary 3,19,Number of loan accounts Units,2015-Q3,197866.0
Summary 3,19,Number of loan accounts Units,2015-Q4,193793.0
Summary 3,19,Number of loan accounts Units,2016-Q1,199163.0
Summary 3,19,Number of loan accounts Units,2016-Q2,210796.0
Summary 3,19,Number of loan accounts Units,2016-Q3,211230.0
Summary 3,19,Number of loan accounts Units,2016-Q4,208405.0
Summary 3,19,Number of loan accounts Units,2017-Q1,204881.0
Summary 3,19,Number of loan accounts Units,2017-Q2,195440.0
Summary 3,19,Number of loan accounts Units,2017-Q3,190761.0
Summary 3,19,Number of loan accounts Units,2017-Q4,187051.0
Summary 3,19,Number of loan accounts Units,2018-Q1,185317.0
Summary 3,19,Number of loan accounts Units,2018-Q2,184589.0
Summary 3,19,Number of loan accounts Units,2018-Q3,185595.0
Summary 3,19,Number of loan accounts Units,2018-Q4,184373.0
Summary 3,19,Number of loan accounts Units,2019-Q1,182545.0
Summary 3,19,Number of loan accounts Units,2019-Q2,181049.0
Summary 3,19,Number of loan accounts Units,2019-Q3,174053.0
Summary 3,19,Number of loan accounts Units,2019-Q4,170499.0
Summary 3,19,Number of loan accounts Units,2020-Q1,172941.0
Summary 3,19,Number of loan accounts Units,2020-Q2,172174.0
Summary 3,19,Number of loan accounts Units,2020-Q3,168626.0
Summary 3,19,Number of loan accounts Units,2020-Q4,170757.0
Summary 3,19,Number of loan accounts Units,2021-Q1,170647.0
Summary 3,19,Number of loan accounts Units,2021-Q2,164128.0
Summary 3,19,Number of loan accounts Units,2021-Q3,158602.0
Summary 3,19,Number of loan accounts Units,2021-Q4,154473.0
Summary 3,19,Number of loan accounts Units,2022-Q1,152855.0
Summary 3,19,Number of loan accounts Units,2022-Q2,151454.0
Summary 3,19,Number of loan accounts Units,2022-Q3,147095.0
Summary 3,19,Number of loan accounts Units,2022-Q4,150989.0
Summary 3,19,Number of loan accounts Units,2023-Q1,156475.0
Summary 3,19,Number of loan accounts Units,2023-Q2,165365.0
Summary 3,19,Number of loan accounts Units,2023-Q3,178993.0
Summary 3,19,Number of loan accounts Units,2023-Q4,188932.0
Summary 3,19,Number of loan accounts Units,2024-Q1,190670.0
Summary 3,19,Number of loan accounts Units,2024-Q2,190736.0
Summary 3,19,Number of loan accounts Units,2024-Q3,186566.0
Summary 3,19,Number of loan accounts Units,2024-Q4,183663.0
Summary 3,19,Number of loan accounts Units,2025-Q1,182095.0
Summary 3,19,Number of loan accounts Units,2025-Q2,178728.0
Summary 3,19,Number of loan accounts Units,2025-Q3,171834.0
Summary 3,19,Number of loan accounts Units,2025-Q4,170512.0
Summary 3,20,Balances outstanding £ millions,2007-Q1,21916.866
Summary 3,20,Balances outstanding £ millions,2007-Q2,23041.773
Summary 3,20,Balances outstanding £ millions,2007-Q3,24262.272
Summary 3,20,Balances outstanding £ millions,2007-Q4,26236.605
Summary 3,20,Balances outstanding £ millions,2008-Q1,28439.189
Summary 3,20,Balances outstanding £ millions,2008-Q2,30292.753
Summary 3,20,Balances outstanding £ millions,2008-Q3,35051.181
Summary 3,20,Balances outstanding £ millions,2008-Q4,40437.987
Summary 3,20,Balances outstanding £ millions,2009-Q1,43572.226
Summary 3,20,Balances outstanding £ millions,2009-Q2,42602.252
Summary 3,20,Balances outstanding £ millions,2009-Q3,41782.925
Summary 3,20,Balances outstanding £ millions,2009-Q4,40090.571
Summary 3,20,Balances outstanding £ millions,2010-Q1,38950.669
Summary 3,20,Balances outstanding £ millions,2010-Q2,37635.65
Summary 3,20,Balances outstanding £ millions,2010-Q3,36143.396
Summary 3,20,Balances outstanding £ millions,2010-Q4,35750.035
Summary 3,20,Balances outstanding £ millions,2011-Q1,34960.895
Summary 3,20,Balances outstanding £ millions,2011-Q2,34171.719
Summary 3,20,Balances outstanding £ millions,2011-Q3,33079.035
Summary 3,20,Balances outstanding £ millions,2011-Q4,31855.269
Summary 3,20,Balances outstanding £ millions,2012-Q1,30736.164
Summary 3,20,Balances outstanding £ millions,2012-Q2,29927.375
Summary 3,20,Balances outstanding £ millions,2012-Q3,30140.03
Summary 3,20,Balances outstanding £ millions,2012-Q4,29558.269
Summary 3,20,Balances outstanding £ millions,2013-Q1,29425.844
Summary 3,20,Balances outstanding £ millions,2013-Q2,28557.12
