sheet_name,row_number,series_label,period,value,variable
Summary 3,33,TOTAL Per cent,2007-Q1,2.059,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2007-Q2,2.079,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2007-Q3,2.132,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2007-Q4,2.262,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2008-Q1,2.415,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2008-Q2,2.549,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2008-Q3,2.93,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2008-Q4,3.368,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2009-Q1,3.636,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2009-Q2,3.547,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2009-Q3,3.472,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2009-Q4,3.321,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2010-Q1,3.229,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2010-Q2,3.113,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2010-Q3,2.979,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2010-Q4,2.947,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2011-Q1,2.884,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2011-Q2,2.813,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2011-Q3,2.717,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2011-Q4,2.614,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2012-Q1,2.516,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2012-Q2,2.446,total_arrears_rate_pct
Summary 3,33,TOTAL Per cent,2012-Q3,2.456,total_arrears_rate_pct
