period,new_possessions_units,serious_arrears_rate_pct,stock_possessions_units,total_arrears_rate_pct
2007-Q1,6472.0,1.297,12143.0,2.059
2007-Q2,6464.0,1.318,12581.0,2.079
2007-Q3,6838.0,1.367,12836.0,2.132
2007-Q4,8135.0,1.451,15505.0,2.262
2008-Q1,9174.0,1.578,17802.0,2.415
2008-Q2,11074.0,1.686,21360.0,2.549
2008-Q3,13462.0,1.963,27548.0,2.93
2008-Q4,13236.0,2.271,28241.0,3.368
2009-Q1,14838.0,2.506,29146.0,3.636
2009-Q2,13225.0,2.475,25052.0,3.547
2009-Q3,13417.0,2.459,23082.0,3.472
2009-Q4,11483.0,2.366,19426.0,3.321
2010-Q1,10447.0,2.315,18107.0,3.229
2010-Q2,9990.0,2.239,16921.0,3.113
2010-Q3,9134.0,2.142,16575.0,2.979
2010-Q4,8246.0,2.103,15468.0,2.947
2011-Q1,9615.0,2.062,16020.0,2.884
2011-Q2,9510.0,2.003,16262.0,2.813
2011-Q3,9674.0,1.929,16182.0,2.717
2011-Q4,8924.0,1.843,15457.0,2.614
2012-Q1,9531.0,1.754,15385.0,2.516
2012-Q2,8695.0,1.69,14953.0,2.446
2012-Q3,8521.0,1.698,14889.0,2.456
2012-Q4,7792.0,1.662,13321.0,2.406
2013-Q1,8109.0,1.646,12855.0,2.395
2013-Q2,7760.0,1.596,12018.0,2.321
2013-Q3,7328.0,1.523,11318.0,2.208
2013-Q4,6118.0,1.445,9956.0,2.103
2014-Q1,6658.0,1.372,10164.0,2.0
2014-Q2,5713.0,1.281,9730.0,1.863
2014-Q3,5148.0,1.185,9076.0,1.733
2014-Q4,4134.0,1.109,7758.0,1.627
2015-Q1,3157.0,1.071,6426.0,1.565
2015-Q2,2671.0,1.035,5249.0,1.502
2015-Q3,2881.0,0.986,5084.0,1.426
2015-Q4,2418.0,0.951,4473.0,1.371
2016-Q1,2575.0,0.929,4379.0,1.332
2016-Q2,2307.0,0.943,4239.0,1.329
2016-Q3,2145.0,0.913,4081.0,1.285
2016-Q4,2138.0,0.884,3904.0,1.235
2017-Q1,2283.0,0.869,3893.0,1.2
2017-Q2,1982.0,0.839,3746.0,1.154
2017-Q3,2235.0,0.802,3952.0,1.107
2017-Q4,1953.0,0.782,3650.0,1.076
2018-Q1,2107.0,0.767,3768.0,1.056
2018-Q2,1830.0,0.737,3413.0,1.007
2018-Q3,1809.0,0.734,3402.0,1.008
2018-Q4,1847.0,0.728,3413.0,1.002
2019-Q1,2209.0,0.73,3846.0,1.001
2019-Q2,2081.0,0.712,3930.0,0.971
2019-Q3,2351.0,0.679,4337.0,0.925
2019-Q4,2185.0,0.655,4214.0,0.898
2020-Q1,1773.0,0.659,3972.0,0.906
2020-Q2,249.0,0.685,3169.0,0.924
2020-Q3,378.0,0.688,2288.0,0.906
2020-Q4,435.0,0.696,1933.0,0.928
2021-Q1,380.0,0.729,1583.0,0.962
2021-Q2,539.0,0.693,1587.0,0.898
2021-Q3,863.0,0.674,1932.0,0.859
2021-Q4,848.0,0.657,2073.0,0.835
2022-Q1,1147.0,0.647,2485.0,0.815
2022-Q2,1353.0,0.627,2866.0,0.795
2022-Q3,1650.0,0.603,3197.0,0.775
2022-Q4,1242.0,0.618,3247.0,0.808
2023-Q1,1475.0,0.649,3596.0,0.877
2023-Q2,1488.0,0.734,4818.0,0.994
2023-Q3,1425.0,0.835,4899.0,1.12
2023-Q4,1459.0,0.942,5236.0,1.23
2024-Q1,2098.0,0.995,6032.0,1.277
2024-Q2,1983.0,1.018,6483.0,1.309
2024-Q3,2073.0,1.028,6798.0,1.306
2024-Q4,2055.0,1.019,7123.0,1.281
2025-Q1,2315.0,1.001,7670.0,1.259
2025-Q2,2439.0,0.994,8681.0,1.243
2025-Q3,2482.0,0.962,9123.0,1.197
2025-Q4,2182.0,0.941,9319.0,1.177
