period,avg_interest_rate_all_loans_pct,buy_to_let_share_pct,fixed_rate_share_pct,gross_advances_gbp_m,house_purchase_share_pct,impaired_credit_history_pct,ltv_75_90_pct,ltv_90_95_pct,ltv_gt_90_pct,ltv_gt_95_pct,ltv_le_75_pct,net_advances_gbp_m,new_commitments_gbp_m,remortgage_share_pct,residential_loans_outstanding_gbp_m,uk_hpi_annual_change_pct,year,quarter_num,new_possessions_units,serious_arrears_rate_pct,stock_possessions_units,total_arrears_rate_pct
2011-Q1,3.648,8.42,51.218,32984.725,53.89,0.327,24.178,1.248,0.889,0.467,74.108,1694.603,34884.278,38.3,1212437.427,-0.7666666666666666,2011,1,9615.0,2.062,16020.0,2.884
2011-Q2,3.808,8.98,56.023,36554.241,59.13,0.355,28.55,1.483,0.878,0.369,69.598,7888.658,39576.837,33.6,1214655.119,-1.8,2011,2,9510.0,2.003,16262.0,2.813
2011-Q3,3.591,8.72,51.707,43568.227,60.5,0.37,28.729,1.356,0.896,0.352,69.563,6949.765,41833.13,32.77,1217622.167,-2.033333333333333,2011,3,9674.0,1.929,16182.0,2.717
2011-Q4,3.485,9.48,53.534,40107.073,61.26,0.355,30.537,1.452,1.048,0.388,67.623,4103.868,37045.063,32.2,1218462.922,-1.2333333333333334,2011,4,8924.0,1.843,15457.0,2.614
2012-Q1,3.498,10.03,55.082,36442.684,59.38,0.289,29.435,1.945,1.309,0.365,68.255,2661.999,37050.701,33.49,1221480.541,-0.3999999999999999,2012,1,9531.0,1.754,15385.0,2.516
2012-Q2,3.776,10.71,56.389,36926.808,62.45,0.272,30.323,1.76,1.32,0.638,67.279,4662.963,39810.945,30.82,1223477.111,0.6,2012,2,8695.0,1.69,14953.0,2.446
2012-Q3,3.886,10.56,55.984,39595.182,66.3,0.252,29.578,1.873,1.378,0.444,68.104,5602.102,35934.485,27.13,1227319.002,0.4666666666666666,2012,3,8521.0,1.698,14889.0,2.456
2012-Q4,3.806,11.18,63.546,39397.195,66.11,0.29,31.651,1.712,1.225,0.372,66.264,4207.831,36885.163,27.79,1228664.642,0.9333333333333336,2012,4,7792.0,1.662,13321.0,2.406
2013-Q1,3.648,12.19,70.686,34044.484,63.0,0.258,30.877,1.627,1.271,0.478,67.018,1314.83,35525.352,29.55,1228627.074,1.3333333333333333,2013,1,8109.0,1.646,12855.0,2.395
2013-Q2,3.468,12.23,75.257,41673.78,64.73,0.211,32.244,2.092,1.601,0.449,65.215,5117.333,48141.055,28.19,1230403.305,1.5666666666666669,2013,2,7760.0,1.596,12018.0,2.321
2013-Q3,3.322,12.07,77.314,49570.122,67.38,0.199,32.703,1.734,1.321,0.424,65.14,7205.85,50520.37,26.5,1234449.165,2.9,2013,3,7328.0,1.523,11318.0,2.208
2013-Q4,3.246,13.04,80.273,51491.136,68.07,0.199,33.243,1.725,1.487,0.404,64.628,8974.651,50356.32,26.43,1238923.328,4.433333333333334,2013,4,6118.0,1.445,9956.0,2.103
2014-Q1,3.244,14.66,81.011,47097.301,66.17,0.196,31.637,3.078,2.604,0.458,64.827,7035.237,48854.73,27.33,1243557.079,6.433333333333334,2014,1,6658.0,1.372,10164.0,2.0
2014-Q2,3.258,13.81,81.945,51518.104,69.93,0.188,30.862,4.162,3.355,0.426,64.551,8932.818,53482.17,24.05,1249870.169,8.133333333333333,2014,2,5713.0,1.281,9730.0,1.863
2014-Q3,3.315,14.46,82.571,55910.718,71.63,0.198,31.47,4.027,3.116,0.342,64.161,11050.652,53683.317,23.03,1256161.466,8.966666666666667,2014,3,5148.0,1.185,9076.0,1.733
2014-Q4,3.257,15.08,82.24,51371.767,70.87,0.221,31.565,3.466,2.547,0.332,64.637,8095.694,46236.67,23.62,1260123.294,8.5,2014,4,4134.0,1.109,7758.0,1.627
2015-Q1,2.991,17.496,77.635,45593.342,66.514,0.194,28.991,3.111,2.288,0.411,67.487,6288.02,47209.401,26.591,1261592.528,6.8,2015,1,3157.0,1.071,6426.0,1.565
2015-Q2,2.827,16.781,78.926,52564.001,68.278,0.198,30.382,3.534,2.559,0.302,65.783,9957.367,59564.667,25.433,1271957.41,5.266666666666667,2015,2,2671.0,1.035,5249.0,1.502
2015-Q3,2.733,16.453,80.659,62095.996,70.771,0.189,31.226,3.241,2.432,0.241,65.292,13676.381,64120.228,23.508,1281952.557,5.333333333333333,2015,3,2881.0,0.986,5084.0,1.426
2015-Q4,2.689,16.502,84.092,63090.045,69.705,0.256,30.509,3.181,2.467,0.244,66.066,14213.717,59463.693,24.607,1291408.823,6.433333333333334,2015,4,2418.0,0.951,4473.0,1.371
2016-Q1,2.635,22.065,81.429,64015.298,69.764,0.237,29.048,2.674,2.051,0.27,68.008,13626.793,60572.531,24.492,1304746.968,7.966666666666666,2016,1,2575.0,0.929,4379.0,1.332
2016-Q2,2.554,13.905,82.273,58037.382,63.745,0.261,30.88,3.97,3.035,0.221,64.928,11871.917,68108.783,29.227,1316335.304,8.033333333333333,2016,2,2307.0,0.943,4239.0,1.329
2016-Q3,2.466,13.819,82.3,64447.772,66.578,0.252,31.108,4.509,3.461,0.291,64.092,13346.012,61026.31,27.572,1330802.397,6.7,2016,3,2145.0,0.913,4081.0,1.285
2016-Q4,2.338,14.385,81.292,62772.619,66.526,0.234,30.563,4.025,3.132,0.392,65.02,11527.921,61704.766,27.15,1337867.863,5.366666666666667,2016,4,2138.0,0.884,3904.0,1.235
2017-Q1,2.3,14.707,84.788,60435.915,61.794,0.228,28.947,3.741,2.933,0.249,67.063,9953.126,61509.744,31.308,1352773.133,4.433333333333334,2017,1,2283.0,0.869,3893.0,1.2
