,serious_arrears_rate_pct,total_arrears_rate_pct,new_possessions_units,stock_possessions_units,avg_interest_rate_all_loans_pct,uk_hpi_annual_change_pct,gross_advances_gbp_m,new_commitments_gbp_m,fixed_rate_share_pct,house_purchase_share_pct,buy_to_let_share_pct,remortgage_share_pct,impaired_credit_history_pct,ltv_gt_90_pct,ltv_gt_95_pct,residential_loans_outstanding_gbp_m
serious_arrears_rate_pct,1.0,0.9967505017108529,0.9690030353606329,0.9795715306492279,0.4521051265153833,-0.4579870116158229,-0.8423821563857504,-0.7739031646955052,-0.9255918198773408,-0.29584792024945944,-0.266267816713861,0.2554328725459426,-0.43721114035078446,-0.6861480953533405,0.767929483261073,-0.714816185195195
total_arrears_rate_pct,0.9967505017108529,1.0,0.9760786324979228,0.9762492835659384,0.4188205968161989,-0.4284889725527546,-0.8518565276491972,-0.7865924866533951,-0.9302898637054801,-0.28979425684686927,-0.20803997420652517,0.24660434427914107,-0.4858820908322016,-0.7023679173717671,0.7805048141022257,-0.7599938122968072
new_possessions_units,0.9690030353606329,0.9760786324979228,1.0,0.9793547509426952,0.356231683385777,-0.4148007008096811,-0.8082387842799643,-0.7531838049220135,-0.91581084331025,-0.35224010040351944,-0.2009274228055119,0.30186408380332347,-0.4494134902107515,-0.6630584812449749,0.7708824005318281,-0.7532928292817885
stock_possessions_units,0.9795715306492279,0.9762492835659384,0.9793547509426952,1.0,0.49738958541238537,-0.5065346850991426,-0.8420587124281794,-0.7921845258157614,-0.9141346567237623,-0.3490719913315057,-0.320238801839588,0.3164167844266493,-0.3488255152952475,-0.601347710767397,0.7804959517138201,-0.6605238675159534
avg_interest_rate_all_loans_pct,0.4521051265153833,0.4188205968161989,0.356231683385777,0.49738958541238537,1.0,-0.5030942541856502,-0.4841446664958821,-0.5296871441034134,-0.3403200983727354,-0.06384828434395912,-0.6290922376948296,0.14809712789335971,0.12169755975081117,0.0041106911330291785,0.4223447138018962,0.11734767570805249
uk_hpi_annual_change_pct,-0.4579870116158229,-0.4284889725527546,-0.4148007008096811,-0.5065346850991426,-0.5030942541856502,1.0,0.5571133551579136,0.5105876608773845,0.44970305879017475,0.5656947879562998,0.6051944023955312,-0.5990004083878365,-0.3444021715504104,0.11325685619801809,-0.33329241199344306,0.08648577008519813
gross_advances_gbp_m,-0.8423821563857504,-0.8518565276491972,-0.8082387842799643,-0.8420587124281794,-0.4841446664958821,0.5571133551579136,1.0,0.905917678974538,0.8309901604097516,0.5143102221608032,0.16364269284527966,-0.4942705728217182,0.4273547021323369,0.5056093297544177,-0.7777445715081098,0.6517162800630751
new_commitments_gbp_m,-0.7739031646955052,-0.7865924866533951,-0.7531838049220135,-0.7921845258157614,-0.5296871441034134,0.5105876608773845,0.905917678974538,1.0,0.7875329488189261,0.49075058053644005,0.1705521953060985,-0.5032865924574362,0.39451834839454064,0.45336866586551144,-0.725018132838305,0.5809076660028991
fixed_rate_share_pct,-0.9255918198773408,-0.9302898637054801,-0.91581084331025,-0.9141346567237623,-0.3403200983727354,0.44970305879017475,0.8309901604097516,0.7875329488189261,1.0,0.411833426959132,0.19512130045016618,-0.36379427939704306,0.4826679136259118,0.7256792275901336,-0.7074923928348952,0.728556818875565
house_purchase_share_pct,-0.29584792024945944,-0.28979425684686927,-0.35224010040351944,-0.3490719913315057,-0.06384828434395912,0.5656947879562998,0.5143102221608032,0.49075058053644005,0.411833426959132,1.0,0.1839001503198718,-0.9870298097777879,-0.0961211204202282,0.06115399103606242,-0.22940778073012127,0.19727786371710881
buy_to_let_share_pct,-0.266267816713861,-0.20803997420652517,-0.2009274228055119,-0.320238801839588,-0.6290922376948296,0.6051944023955312,0.16364269284527966,0.1705521953060985,0.19512130045016618,0.1839001503198718,1.0,-0.23255284730450898,-0.4636162463332596,-0.004011464871180343,-0.14606258351281498,-0.36985023918979454
remortgage_share_pct,0.2554328725459426,0.24660434427914107,0.30186408380332347,0.3164167844266493,0.14809712789335971,-0.5990004083878365,-0.4942705728217182,-0.5032865924574362,-0.36379427939704306,-0.9870298097777879,-0.23255284730450898,1.0,0.15366715444440554,0.011927265778667446,0.20040045956919378,-0.13043877074420826
impaired_credit_history_pct,-0.43721114035078446,-0.4858820908322016,-0.4494134902107515,-0.3488255152952475,0.12169755975081117,-0.3444021715504104,0.4273547021323369,0.39451834839454064,0.4826679136259118,-0.0961211204202282,-0.4636162463332596,0.15366715444440554,1.0,0.6005685573781081,-0.4591396143785587,0.7303534666715243
ltv_gt_90_pct,-0.6861480953533405,-0.7023679173717671,-0.6630584812449749,-0.601347710767397,0.0041106911330291785,0.11325685619801809,0.5056093297544177,0.45336866586551144,0.7256792275901336,0.06115399103606242,-0.004011464871180343,0.011927265778667446,0.6005685573781081,1.0,-0.41652861617526715,0.6534812005318466
ltv_gt_95_pct,0.767929483261073,0.7805048141022257,0.7708824005318281,0.7804959517138201,0.4223447138018962,-0.33329241199344306,-0.7777445715081098,-0.725018132838305,-0.7074923928348952,-0.22940778073012127,-0.14606258351281498,0.20040045956919378,-0.4591396143785587,-0.41652861617526715,1.0,-0.5823227264941729
residential_loans_outstanding_gbp_m,-0.714816185195195,-0.7599938122968072,-0.7532928292817885,-0.6605238675159534,0.11734767570805249,0.08648577008519813,0.6517162800630751,0.5809076660028991,0.728556818875565,0.19727786371710881,-0.36985023918979454,-0.13043877074420826,0.7303534666715243,0.6534812005318466,-0.5823227264941729,1.0
