Table of contents,
"This worksheet contains one table. To access a data table, click on the worksheet number in the table below, or navigate using the tabs at the bottom of the workbook.",
Worksheet Number,Worksheet Title
Worksheet 1,"UK House Price Index - Indices, countries and regions"
Worksheet 2,"UK House Price Index - Average Price (£s), countries and regions"
Worksheet 3,"UK House Price Index - Annual percentage change, countries and regions"
Worksheet 4,"House price level (£s) & Annual house price percentage change by FTB or FOO, Great Britain"
Worksheet 5,"House price level (£s) & Annual house price percentage change by new or pre-owned dwelling, UK"
Worksheet 6,"House price level (£s) & Annual house price percentage change by cash or mortgage buyer, Great Britain"
Worksheet 7,"UK House Price Index - Monthly percentage change, seasonally adjusted, countries and regions"
Worksheet 8,England LA Values - January 2026
Worksheet 9,Wales LA Values - January 2026
Worksheet 10,Scotland LA Values - January 2026
Worksheet 11,Northern Ireland LA Values - Quarter 4 2025
