Mortgages Grouped By,Category,Postcode Region,Date,Number of Sales
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2020 Q1,933
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2020 Q2,568
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2020 Q3,863
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2020 Q4,992
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2021 Q1,833
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2021 Q2,798
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2021 Q3,824
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2021 Q4,903
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2022 Q1,1003
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2022 Q2,966
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2022 Q3,1145
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2022 Q4,894
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2023 Q1,577
Lifetime mortgages sales,Lifetime Mortgage,East Midlands,2023 Q2,537
