"UK House Price Index - Indices, countries and regions [note 1] [note 2] [note 6] [note 8]",,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,
Time period,United Kingdom,Great Britain,England,Wales,Scotland,Northern Ireland [note 3] ,North East,North West,Yorkshire and The Humber
Jan 2011,59.1,58.7,57.6,59.9,71.3,69.3,73.5,61.2,63.3
Feb 2011,58.7,58.4,57.4,60,69.2,69.3,73.3,60.8,64.3
Mar 2011,58.5,58.2,57.2,58.7,69.3,69.3,72.6,60.2,62.8
Apr 2011,59.4,59.1,58,60.6,71.4,68.2,74.9,61,64.7
May 2011,59.1,58.8,57.7,60.1,71.4,68.2,75.3,60.7,64.7
Jun 2011,59.2,58.9,57.8,60.2,72.1,68.2,75.1,60.5,64
Jul 2011,60,59.7,58.5,60.3,73.3,67,73.8,61.4,64.4
Aug 2011,60,59.7,58.6,60.7,72.8,67,73.4,61.9,65
Sep 2011,59.9,59.6,58.4,61.5,72.5,67,73.5,61.5,64.6
Oct 2011,59.2,58.9,57.9,59.9,71,65.2,72.9,61.1,63.5
Nov 2011,59.2,59,57.9,61.2,70.5,65.2,73.4,60,63.8
Dec 2011,59,58.7,57.7,59.8,69.2,65.2,72.3,60.3,63.7
