"UK House Price Index - Average price (£s), countries and regions [note 1] [note 2] [note 6] [note 7]",,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,
Time period,United Kingdom,Great Britain,England,Wales,Scotland,Northern Ireland [note 3] ,North East,North West,Yorkshire and The Humber
Jan 2011,154113,155288,164697,120980,124856,112639,110800,120876,121396
Feb 2011,153297,154453,164101,121161,121170,112639,110514,120001,123137
Mar 2011,152591,153729,163378,118483,121416,112639,109475,118899,120256
Apr 2011,154958,156195,165687,122354,124954,110858,113001,120511,124045
May 2011,154269,155489,164910,121278,124938,110858,113513,119816,123973
Jun 2011,154530,155756,165071,121453,126264,110858,113222,119566,122632
Jul 2011,156476,157796,167266,121731,128400,108933,111277,121233,123457
Aug 2011,156570,157893,167428,122518,127523,108933,110658,122225,124601
Sep 2011,156179,157492,166907,124054,126976,108933,110918,121416,123816
Oct 2011,154456,155799,165385,120911,124255,105870,109974,120674,121648
Nov 2011,154533,155879,165412,123484,123373,105870,110721,118507,122217
Dec 2011,153880,155209,165046,120627,121178,105870,109112,119152,121997
