"UK House Price Index - Annual percentage change, countries and regions [note 1] [note 2] [note 6] [note 8]",,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,
Time period,United Kingdom,Great Britain,England,Wales,Scotland,Northern Ireland [note 3] ,North East,North West,Yorkshire and The Humber
Jan 2011,-0.1,0.1,0,0,0.6,-12.3,-2.4,-0.9,-2.9
Feb 2011,-0.9,-0.7,-0.8,0,-0.5,-12.3,-4.2,-3.1,-1.4
Mar 2011,-1.3,-1.1,-1,-4.2,-2.1,-12.3,-6,-2.7,-3.7
Apr 2011,-1.1,-0.8,-0.7,-1.9,-2.5,-12.9,-3.2,-3.5,-1.9
May 2011,-2,-1.8,-1.7,-3.3,-2.4,-12.9,-2.4,-4.1,-2.3
Jun 2011,-2.3,-2.1,-2.1,-2.7,-2.3,-12.9,-3.2,-4.6,-3.8
Jul 2011,-2.1,-1.8,-1.9,-4.1,-1.5,-12.9,-4.6,-2.8,-4.5
Aug 2011,-2,-1.8,-1.9,-2.3,-1,-12.9,-7.3,-3.2,-3.3
Sep 2011,-2,-1.8,-1.9,-1.6,-1.4,-12.9,-4.1,-2.9,-2.9
Oct 2011,-2,-1.8,-1.6,-4.1,-3.5,-10.2,-6.9,-2.6,-2.9
Nov 2011,-0.7,-0.6,-0.6,2.3,-2.5,-10.2,-2.7,-2.9,-1.3
Dec 2011,-1,-0.8,-0.7,-1.2,-3,-10.2,-3.6,-2.5,-2.3
